hand,players,won,played,prob
AQs,4,10096,20491,0.49270411400126884
AKo,4,30102,61234,0.49158963974262665
AJs,4,9688,20607,0.4701315087106323
AQo,4,28702,61328,0.4680080876597965
ATs,4,9509,20575,0.4621628189550425
KQs,4,9318,20460,0.455425219941349
AJo,4,27648,60883,0.4541169127671107
TTo,4,13268,30499,0.435030656742844
A9s,4,8788,20253,0.4339110255270824
KJs,4,8893,20505,0.433699097781029
ATo,4,26483,61325,0.4318467183041174
KQo,4,26366,61265,0.4303599118583204
A8s,4,8513,20383,0.417651964872688
KTs,4,8393,20329,0.4128584780363028
A7s,4,8335,20225,0.41211372064276885
KJo,4,25019,61111,0.4094025625501137
QJs,4,8402,20558,0.4086973440996206
A9o,4,24614,61152,0.4025052328623757
A6s,4,8035,20255,0.3966921747716613
KTo,4,23779,60835,0.3908769622750062
A8o,4,23856,61070,0.39063369903389555
QTs,4,7943,20489,0.38767143345209626
K9s,4,7802,20161,0.38698477258072517
A5s,4,7662,20107,0.3810613219276869
A4s,4,7686,20314,0.3783597518952447
99o,4,11622,30739,0.3780864699567325
A7o,4,23234,61520,0.377665799739922
QJo,4,22626,61051,0.3706081800461909
A3s,4,7469,20274,0.36840288053664794
K8s,4,7380,20164,0.36599880975996824
A6o,4,22130,60681,0.3646940558000033
JTs,4,7344,20230,0.3630252100840336
QTo,4,22030,60933,0.36154464739960285
A2s,4,7376,20439,0.3608787122657664
K9o,4,22018,61344,0.3589267083985394
K7s,4,7241,20370,0.35547373588610703
Q9s,4,7192,20251,0.35514295590341216
A5o,4,21536,61150,0.3521831561733442
A4o,4,21132,61078,0.34598382396280164
K6s,4,6978,20201,0.34542844413642887
J9s,4,6809,20165,0.33766426977436154
A3o,4,20754,61696,0.33639133817427386
JTo,4,20518,61313,0.33464355030743886
Q8s,4,6871,20545,0.3344366025797031
88o,4,10135,30540,0.33185985592665357
A2o,4,20006,60504,0.3306558244083036
K5s,4,6814,20667,0.3297043596071031
K8o,4,20326,61730,0.3292726389113883
K4s,4,6567,20176,0.3254857256145916
K7o,4,19612,61100,0.3209819967266776
K3s,4,6452,20200,0.3194059405940594
Q9o,4,19509,61153,0.31901950844602883
T9s,4,6491,20604,0.3150359153562415
K2s,4,6384,20502,0.31138425519461516
K6o,4,19043,61327,0.31051575977954243
Q7s,4,6197,19995,0.3099274818704676
J8s,4,6214,20414,0.30439894190261585
J9o,4,18540,60966,0.30410392677886033
Q6s,4,6176,20428,0.30233013510867435
Q8o,4,18257,61184,0.2983950052301255
T8s,4,5979,20270,0.29496793290577206
77o,4,9040,30660,0.2948467058056099
K5o,4,17959,61034,0.29424583019300715
Q5s,4,5925,20237,0.2927805504768493
J7s,4,5928,20258,0.29262513574883997
K4o,4,17842,61475,0.2902318015453436
Q4s,4,5834,20387,0.28616275077255116
T9o,4,17486,61120,0.2860929319371728
98s,4,5801,20338,0.28522961943160585
K3o,4,17204,60779,0.2830582931604666
Q3s,4,5587,20274,0.2755746276018546
K2o,4,16828,61234,0.27481464545840545
J8o,4,16743,61103,0.27401273259905407
Q7o,4,16744,61301,0.273143994388346
Q2s,4,5480,20223,0.2709785887355981
66o,4,8218,30615,0.2684305079209538
T7s,4,5491,20502,0.2678275290215589
Q6o,4,16152,60791,0.2656972249181622
97s,4,5426,20461,0.26518742974439174
J6s,4,5306,20278,0.2616628858861821
T8o,4,15914,61068,0.26059474683958866
J5s,4,5272,20553,0.2565075658054785
87s,4,5173,20274,0.2551543849265069
Q5o,4,15527,61050,0.25433251433251436
J4s,4,5133,20289,0.25299423332840454
T6s,4,5071,20100,0.25228855721393034
J7o,4,15324,61277,0.25007751684971524
Q4o,4,15225,61349,0.24817030432443887
98o,4,15016,60930,0.24644674216313803
J3s,4,4942,20348,0.24287399252997838
55o,4,7443,31026,0.23989557145619803
96s,4,4800,20312,0.23631350925561245
T7o,4,14407,61463,0.2344011844524348
J2s,4,4796,20522,0.23370041906246955
Q3o,4,14229,60959,0.23341918338555423
J6o,4,14059,61000,0.23047540983606557
76s,4,4689,20360,0.23030451866404716
T5s,4,4686,20357,0.2301910890602741
86s,4,4678,20423,0.22905547666846202
Q2o,4,13922,60962,0.22837177257963978
T4s,4,4603,20409,0.22553775295212897
44o,4,6793,30669,0.22149401675959438
J5o,4,13511,61186,0.22081848788938646
97o,4,13348,61130,0.2183543268444299
95s,4,4467,20552,0.21735110938108212
T3s,4,4448,20484,0.21714508884983402
87o,4,13147,60960,0.21566601049868767
65s,4,4317,20298,0.21268105232042567
T6o,4,12941,61156,0.21160638367453724
85s,4,4315,20400,0.21151960784313725
75s,4,4305,20361,0.21143362310299102
T2s,4,4279,20422,0.20952893937910097
J4o,4,12712,60987,0.20843786380704085
33o,4,6228,30562,0.20378247496891563
J3o,4,12400,61381,0.20201691077043385
94s,4,4075,20261,0.20112531464389713
96o,4,12203,61208,0.1993693634818978
64s,4,4063,20647,0.19678403642175618
93s,4,4006,20437,0.19601702793952144
J2o,4,11945,61305,0.19484544490661446
86o,4,11928,61261,0.1947078891954098
76o,4,11859,61402,0.19313703136705646
74s,4,3942,20517,0.19213335282936103
84s,4,3883,20392,0.19041781090623774
T5o,4,11581,61154,0.18937436635379534
92s,4,3870,20477,0.1889925282023734
22o,4,5759,30593,0.18824567711568005
54s,4,3718,20359,0.18262193624441278
T4o,4,11137,61214,0.1819355049498481
95o,4,10917,61348,0.17795201147551673
63s,4,3612,20313,0.1778171614237188
83s,4,3618,20481,0.17665153068697817
85o,4,10832,61862,0.17509941482654942
T3o,4,10724,61444,0.1745329080138012
73s,4,3598,20661,0.17414452349837858
75o,4,10636,61348,0.17337158505574754
65o,4,10581,61261,0.1727200013058879
T2o,4,10374,60889,0.1703756015043768
82s,4,3476,20538,0.16924724900185023
53s,4,3432,20442,0.16788963897857354
62s,4,3213,20221,0.15889421888136096
94o,4,9696,61046,0.15883104544114274
72s,4,3225,20488,0.1574092151503319
43s,4,3212,20463,0.15696623173532717
64o,4,9611,61434,0.15644431422339422
